date,strategy,sp500,sixty40
2021-12-31,2.668768073600108,1.6053338140468698,1.4330244922716486
2022-01-03,2.6876443147248676,1.6146286346394154,1.4340835746040936
2022-01-04,2.6721538425976257,1.6140878450775777,1.4337447533696375
2022-01-05,2.60761437546382,1.5830938433201778,1.4154543664775714
2022-01-06,2.6053845116907364,1.581606672025213,1.4140549784647636
2022-01-07,2.587363358327885,1.5753537927175139,1.4090462482379615
2022-01-10,2.586207474475833,1.5733934305563433,1.4074931635346328
2022-01-11,2.616269102389982,1.5877243539427215,1.4162370337464014
2022-01-12,2.6247115755430346,1.5920168710888933,1.4185343676892752
2022-01-13,2.5758695429227503,1.5700810944904,1.4078149498818022
2022-01-14,2.5832922949164185,1.5707232820949706,1.4050153223122563
2022-01-18,2.5295502328564594,1.542906419012608,1.3866789676209659
2022-01-19,2.502590856045029,1.526885528246157,1.3792337722386998
2022-01-20,2.4727907045731308,1.5099858544414964,1.3703707641196499
2022-01-21,2.415629517420419,1.480343826588155,1.3563874747814766
2022-01-24,2.426189036709354,1.4866305052433129,1.3592151728211819
2022-01-25,2.385124607967141,1.4684802555773266,1.3487248891088655
2022-01-26,2.3800639899955875,1.46479612668791,1.3436597754345356
2022-01-27,2.3630384946692846,1.457563066299625,1.3414645916077772
2022-01-28,2.4282969541615165,1.4937621675888648,1.3618382458355758
2022-01-31,2.486517153076323,1.5206664482859165,1.3765064385670238
2022-02-01,2.493352873184291,1.5309414499590472,1.3818972972398271
2022-02-02,2.508245529961625,1.545813162907263,1.3905459918699798
2022-02-03,2.4831273582928515,1.509478864227117,1.3686947361058732
2022-02-04,2.489961015865308,1.5165767272252102,1.3691120717550156
2022-02-07,2.4980895585366683,1.511709621169385,1.3669710529868175
2022-02-08,2.510699114773596,1.5241477810895097,1.3720395727693673
2022-02-09,2.530145851116917,1.5464553505118332,1.3844365542795203
2022-02-10,2.5065752076429813,1.5186722867769293,1.364396783124906
2022-02-11,2.5165537313965274,1.4887260647950318,1.351846803481619
2022-02-14,2.5215519152531063,1.483858958739564,1.346051781548566
2022-02-15,2.5226473925446284,1.5077888968466866,1.3581909102550378
2022-02-16,2.539571024416131,1.5094788642271169,1.3597505708996922
2022-02-17,2.5396931238524756,1.4772342866080341,1.34346624625703
2022-02-18,2.532124232246869,1.4676690712347482,1.3393741282846487
2022-02-22,2.524763921627636,1.4519185752486798,1.330164774070133
2022-02-23,2.514289797431783,1.4261634723705783,1.3136320518964677
2022-02-24,2.5190200968906367,1.4476260581025082,1.3264553395344518
2022-02-25,2.535427706099236,1.479566441593035,1.3445486647510163
2022-02-28,2.5489402394580565,1.4757809146608851,1.3463622972788836
2022-03-01,2.5532573217657673,1.4533043485009114,1.337087575702017
2022-03-02,2.5447759337753295,1.4800396324595986,1.3454271850189765
2022-03-03,2.5447322119798734,1.472671374680765,1.343226967682156
2022-03-04,2.5474004612637136,1.4607064056272039,1.3388309040431672
2022-03-07,2.5440421242243905,1.4176460367731525,1.3120430036677595
2022-03-08,2.540683897509416,1.406897844233458,1.3042079949299974
2022-03-09,2.5391336681476835,1.4446179161651207,1.3240900398204003
2022-03-10,2.5369808706505745,1.4380946420766811,1.3175396958866756
2022-03-11,2.536033360161078,1.419809195020146,1.3073909365442522
2022-03-14,2.5293611999812207,1.409432795303925,1.2965929793362525
2022-03-15,2.5302216041719485,1.440426797061682,1.3148599418549742
2022-03-16,2.527767804656511,1.4723671805522085,1.3327445978814614
2022-03-17,2.5268205026022543,1.4907878249992923,1.3436400385168026
2022-03-18,2.526174509354813,1.5070656212273328,1.3536385960547859
2022-03-21,2.517695437472011,1.5066248794594184,1.3480917040838254
2022-03-22,2.5158445384129595,1.5242545501835045,1.3560955308289768
2022-03-23,2.5179101145214293,1.5046245898961625,1.347852737056765
2022-03-24,2.5171136754372463,1.5273058393475565,1.3588364008155314
2022-03-25,2.5102922157534904,1.5347645461921833,1.358498168905873
2022-03-28,2.5078390643920963,1.5456813807563554,1.3656276061470771
2022-03-29,2.509000896614952,1.5648027928495096,1.3783319356649626
2022-03-30,2.510765163180006,1.5551403771642378,1.3747215675818023
2022-03-31,2.5107219812380515,1.531204708834658,1.3617696995354538
2022-04-01,2.4980275366385913,1.5355443200896748,1.363118238997206
2022-04-01,2.485397259506137,1.539896230304939,1.3644681138967205
2022-04-04,2.502926061972506,1.5530879581457875,1.3719416019890551
2022-04-05,2.475742323722974,1.5334703628776178,1.3559965694356262
2022-04-06,2.4699678240870715,1.5181366792275428,1.3464764145613866
2022-04-07,2.48240769879526,1.5257865214031985,1.3493730357245268
2022-04-08,2.485259222564547,1.5217066055762538,1.3444904026096243
2022-04-11,2.4742474302713173,1.4956971421791687,1.3283913612029763
2022-04-12,2.4871753566016195,1.4901552565139757,1.3271196806040855
2022-04-13,2.507464180648143,1.5072229043902603,1.3373055162844631
2022-04-14,2.484623251926737,1.488455291586172,1.3229766545050212
2022-04-18,2.4893662153564597,1.489067278960339,1.321674275614298
2022-04-19,2.4799368545676144,1.5131047830409423,1.3312621447059938
2022-04-20,2.4874334377110108,1.5119828061885414,1.3337195394546544
2022-04-21,2.461989445086549,1.4893732726474223,1.3188182925721912
2022-04-22,2.4184007408358315,1.4485061157800903,1.2965939664282913
2022-04-25,2.403751616142442,1.4569039425238934,1.304580622363315
2022-04-26,2.3797714367819816,1.4147108130130106,1.2835229598520361
2022-04-27,2.371359528313624,1.41868873094438,1.2836140037707973
2022-04-28,2.4029414111274217,1.4545239916251114,1.3028696386846959
2022-04-29,2.3594027909526356,1.400771100604373,1.2708584423573681
2022-06-01,2.3549671815900743,1.3894409103155596,1.2626082138719665
2022-06-02,2.355493047196181,1.4159006361398716,1.2776731522073883
2022-06-03,2.354602482732186,1.3926635692299032,1.2642484307958077
2022-06-06,2.3514457271923908,1.3969039099071607,1.2634595108740745
2022-06-07,2.3516883467146172,1.41030338644635,1.272659933199895
2022-06-08,2.3499480836735067,1.394970314558197,1.262273686779053
2022-06-09,2.3482078776571327,1.3617938891013008,1.2437177196591023
2022-06-10,2.3382532499683633,1.3223078367171295,1.2182291045477134
2022-06-13,2.3263161816608005,1.272102203101392,1.182488345380242
2022-06-14,2.3217439587812634,1.2682689351294432,1.1775485264368373
2022-06-15,2.330767557424101,1.2863497477761041,1.1928540324452572
